,Nombre,Fecha,Premio,Ubicacion
0,  C-Tier    NSG: Winter Championship - Open 9,"Dec 13 - 14, 2021","$2,500", North America
1,  C-Tier    LPL 2021 Spring Cup - Legends,"Oct 18 - Dec 13, 2021","$1,787", Oceania
2,  C-Tier    Nouraaah and ikawther Tournament,"Dec 10 - 12, 2021",$500, Europe
3,  C-Tier    Taiwan Excellence Gaming Cup - 2021,"Dec 09 - 12, 2021","$5,293", India
4,  B-Tier    The Esports Club Gauntlet - Season 3,"Dec 05 - 12, 2021","$12,242", South Asia
5,  S-Tier    VALORANT Champions 2021,"Dec 01 - 12, 2021","$1,000,000"," Berlin, Germany"
6,  A-Tier    Red Bull Home Ground #2,"Nov 04 - 07, 2021","$68,663"," London, United Kingdom"
7,  A-Tier    VCT 2021: North America Last Chance Qualifier,"Oct 12 - 31, 2021","$100,000"," Los Angeles, United States"
8,  A-Tier    VCT 2021: APAC Last Chance Qualifier,"Oct 11 - 17, 2021", , Asia
9,  A-Tier    VCT 2021: South America Last Chance Qualifier,"Oct 11 - 17, 2021","$45,048"," São Paulo, Brazil"
10,  A-Tier    VCT 2021: EMEA Last Chance Qualifier,"Oct 10 - 17, 2021", , Europe & CIS
11,  A-Tier    Strike Arabia Grand Finals,"Sep 22 - 25, 2021","$50,000"," Istanbul, Turkey"
12,  S-Tier    VCT 2021: Stage 3 Masters - Berlin,"Sep 10 - 19, 2021","$700,000"," Berlin, Germany"
13,  A-Tier    VCT 2021: Southeast Asia Stage 3 Challengers Playoffs,"Aug 13 - 22, 2021","$100,000", Southeast Asia
14,  A-Tier    VCT 2021: EMEA Stage 3 Challengers Playoffs,"Aug 12 - 22, 2021","$100,567", Europe & CIS
15,  C-Tier    NSG: Winter Championship - Open 9,"Dec 13 - 14, 2021","$2,500", North America
16,  C-Tier    LPL 2021 Spring Cup - Legends,"Oct 18 - Dec 13, 2021","$1,787", Oceania
17,  C-Tier    Nouraaah and ikawther Tournament,"Dec 10 - 12, 2021",$500, Europe
18,  C-Tier    Taiwan Excellence Gaming Cup - 2021,"Dec 09 - 12, 2021","$5,293", India
19,  B-Tier    The Esports Club Gauntlet - Season 3,"Dec 05 - 12, 2021","$12,242", South Asia
20,  C-Tier    EKWB Esports Series #8,"Dec 11, 2021",$350, Europe
21,  C-Tier    Samsung Open Tournament Series #8,"Dec 11, 2021",$500, North America
22,  C-Tier    Trovo Titans Smashing Beta,"Nov 30 - Dec 11, 2021","$3,550", Latin America North
23,  C-Tier    LEAGUE EGO CHALLENGER SERIES 2021,"Nov 15 - Dec 11, 2021","$1,985", India
24,  B-Tier    Esportz Premier Series,"Dec 08 - 10, 2021","$13,234", India
25,  C-Tier    Moeckern Masters League #19,"Dec 08, 2021",$112, Europe
26,  C-Tier    NSG: Winter Championship - Open 8,"Dec 06 - 07, 2021","$2,500", North America
27,  C-Tier    RCADIA VALORANT United,"Dec 05, 2021","$3,839"," Hamburg, Germany"
28,  C-Tier    Tarmac Online Sessions #6,"Dec 05, 2021",$903, France
29,  C-Tier    GIRLGAMER Challenge North America,"Dec 05, 2021","$10,000", North America
30,  C-Tier    Chroma Cup #12,"Dec 04 - 05, 2021","$1,795", Brazil
31,  C-Tier    Battle for Supremacy,"Dec 04 - 05, 2021",$118, Malaysia & Singapore
32,  C-Tier    Trovo Titans North America,"Dec 04 - 05, 2021","$8,500", North America
33,  C-Tier    Valorant Midwest Showdown,"Dec 03 - 05, 2021","$5,000"," Columbus,  Ohio, United States"
34,  C-Tier    VCT 2021: Game Changers Academy - December,"Dec 03 - 05, 2021","$2,000", North America
35,  C-Tier    Beloud Cup #12,"Dec 02 - 05, 2021","$1,961", Poland
36,  C-Tier    Maruchan Gaming Series,"Nov 19 - Dec 05, 2021","$1,431", Latin America North
37,  C-Tier    RUSH to Glory #9,"Dec 04, 2021","$1,129", Europe
38,  C-Tier    EKWB Esports Series #7,"Dec 04, 2021",$350, Europe
39,  C-Tier    RCADIA VALORANT United - Qualifier,"Dec 03 - 04, 2021","$1,750"," Hamburg, Germany"
40,  C-Tier    All Stars Underground,"Nov 22 - Dec 04, 2021","$1,884", South Africa
41,  C-Tier    MGA University Championship 2021,"Oct 30 - Dec 04, 2021","$3,975", Philippines
42,  C-Tier    RUSH to Honor #13,"Dec 03, 2021",$564, Europe
43,  C-Tier    AEN Spring Series,"Oct 13 - Dec 03, 2021","$2,145", Oceania
44,  C-Tier    VALORANT LEGENDS Winter,"Oct 14 - Dec 02, 2021","$3,387", Greece & Cyprus
45, SEA Esports Championship 2021: Philippines Qualifier,"Dec 07 - 08, 2021", , Philippines
46, The Esports Club Gauntlet - Season 4 - Open Qualifier 4,"Dec 06 - 08, 2021",$330, South Asia
47, SEA Esports Championship 2021: Singaporean Qualifier,"Dec 03 - 05, 2021", , Singapore
48, The Esports Club Gauntlet - Season 4 - Open Qualifier 3,"Nov 27 - Dec 01, 2021",$333, South Asia
49, Mena Cups: North Africa - Qualifier,"Nov 15 - 29, 2021","$2,000", Africa
50, SEA Esports Championship 2021: Brunei Qualifier,"Nov 26 - 28, 2021", , Brunei
51, SEA Esports Championship 2021: Vietnamese Qualifier,"Nov 25 - 28, 2021", , Vietnam
52, Mena Cups: Levant and Egypt - Qualifier,"Nov 15 - 26, 2021","$2,000", Jordan & Lebanon
53, GO2DEN Kill The Boss Stage 11 - Qual #6,"Nov 24, 2021",$45, CIS
54, Taiwan Excellence Gaming Cup 2021 - Qualifier 4,"Nov 23 - 24, 2021", , India
