,periodo,provincia_id,provincia,destinatarios,monto,destinatarios_retroactivo,monto_retroactivo
0,2020-01-31,6,buenos aires,109,1533404.37,5,1246891.63
1,2020-01-31,22,chaco,16,225086.88,0,0.00
2,2020-01-31,26,chubut,8,112543.44,1,253222.74
3,2020-01-31,2,caba,1,14067.93,0,0.00
4,2020-01-31,18,corrientes,14,196951.02,0,0.00
5,2020-01-31,14,córdoba,36,506445.48,5,1246891.63
6,2020-01-31,30,entre ríos,12,168815.16,3,641970.64
7,2020-01-31,34,formosa,8,112543.44,0,0.00
8,2020-01-31,38,jujuy,11,154747.23,0,0.00
9,2020-01-31,42,la pampa,5,70339.65,0,0.00
10,2020-01-31,46,la rioja,6,84407.58,0,0.00
11,2020-01-31,50,mendoza,30,422037.90,3,740446.15
12,2020-01-31,54,misiones,18,253222.74,1,253222.74
13,2020-01-31,58,neuquén,8,112543.44,1,253222.74
14,2020-01-31,62,río negro,11,154747.23,2,506445.48
15,2020-01-31,66,salta,4,56271.72,0,0.00
16,2020-01-31,70,san juan,6,84407.58,0,0.00
17,2020-01-31,74,san luis,3,42203.79,0,0.00
18,2020-01-31,78,santa cruz,4,56271.72,2,468001.34
19,2020-01-31,82,santa fe,35,492377.55,2,506445.48
20,2020-01-31,86,santiago del estero,10,140679.30,1,253222.74
21,2020-01-31,94,tierra del fuego,2,28135.86,0,0.00
22,2020-01-31,90,tucumán,10,140679.30,3,759668.22
23,2020-02-29,6,buenos aires,111,1561540.23,2,534581.34
24,2020-02-29,22,chaco,16,225086.88,0,0.00
25,2020-02-29,26,chubut,8,112543.44,0,0.00
26,2020-02-29,2,caba,1,14067.93,0,0.00
27,2020-02-29,18,corrientes,14,196951.02,0,0.00
28,2020-02-29,14,córdoba,35,492377.55,0,0.00
29,2020-02-29,30,entre ríos,12,168815.16,0,0.00
30,2020-02-29,34,formosa,8,112543.44,0,0.00
31,2020-02-29,38,jujuy,11,154747.23,0,0.00
32,2020-02-29,42,la pampa,5,70339.65,0,0.00
33,2020-02-29,46,la rioja,7,98475.51,1,267290.67
34,2020-02-29,50,mendoza,30,422037.90,0,0.00
35,2020-02-29,54,misiones,18,253222.74,0,0.00
36,2020-02-29,58,neuquén,8,112543.44,0,0.00
37,2020-02-29,62,río negro,11,154747.23,0,0.00
38,2020-02-29,66,salta,4,56271.72,0,0.00
39,2020-02-29,70,san juan,7,98475.51,1,267290.67
40,2020-02-29,74,san luis,3,42203.79,0,0.00
41,2020-02-29,78,santa cruz,4,56271.72,0,0.00
42,2020-02-29,82,santa fe,36,506445.48,1,267290.67
43,2020-02-29,86,santiago del estero,11,154747.23,2,365766.18
44,2020-02-29,94,tierra del fuego,2,28135.86,0,0.00
45,2020-02-29,90,tucumán,11,154747.23,1,267290.67
46,2020-03-31,6,buenos aires,127,2018219.23,17,4473601.74
47,2020-03-31,22,chaco,19,301938.31,3,844075.80
48,2020-03-31,26,chubut,8,127131.92,0,0.00
49,2020-03-31,2,caba,3,47674.47,2,562717.20
50,2020-03-31,18,corrientes,15,238372.35,1,281358.60
51,2020-03-31,14,córdoba,41,651551.09,6,1660015.74
52,2020-03-31,30,entre ríos,12,190697.88,0,0.00
53,2020-03-31,34,formosa,9,143023.41,1,281358.60
54,2020-03-31,38,jujuy,11,174806.39,0,0.00
55,2020-03-31,42,la pampa,5,79457.45,0,0.00
56,2020-03-31,46,la rioja,9,143023.41,2,562717.20
57,2020-03-31,50,mendoza,40,635659.60,12,3109012.53
58,2020-03-31,54,misiones,19,301938.31,1,281358.60
59,2020-03-31,58,neuquén,9,143023.41,1,281358.60
60,2020-03-31,62,río negro,12,190697.88,1,281358.60
61,2020-03-31,66,salta,5,79457.45,1,281358.60
62,2020-03-31,70,san juan,8,127131.92,1,281358.60
63,2020-03-31,74,san luis,5,79457.45,2,562717.20
64,2020-03-31,78,santa cruz,5,79457.45,1,281358.60
65,2020-03-31,82,santa fe,41,651551.09,6,1688151.60
66,2020-03-31,86,santiago del estero,13,206589.37,2,562717.20
67,2020-03-31,94,tierra del fuego,2,31782.98,0,0.00
68,2020-03-31,90,tucumán,16,254263.84,5,1406793.00
69,2020-04-30,6,buenos aires,137,2177134.13,10,3337212.90
70,2020-04-30,22,chaco,19,301938.31,0,0.00
